"name","birth_place","death_place","gender","citizenship","occupation_str","birth_year","death_year"
"Gerhard von Graevenitz","Schilde","Switzerland","male","Germany","photographer,painter","1934","1983"
"Karl Schmidt-Rottluff","Rottluff","West Berlin","male","Germany","illustrator,Q686932,painter,sculptor,university teacher,graphic artist,designer,art collector,drawer,lithographer","1884","1976"
"LeRoy Neiman","Saint Paul","New York City","male","United States of America","actor,painter","1921","2012"
"JCJ Vanderheyden","'s-Hertogenbosch","'s-Hertogenbosch","male","Kingdom of the Netherlands","photographer,painter,sculptor,filmmaker,university teacher,graphic artist,film director,visual artist,conceptual artist","1928","2012"
"Alexander Calder","Philadelphia","New York City","male","United States of America","photographer,illustrator,painter,sculptor,jewelry designer,designer,printmaker,manufacturer,drawer","1898","1976"
"Alexander Rodchenko","Saint Petersburg","Moscow","male","Soviet Union","photographer,architect,graphic designer,painter,typographer,sculptor,graphic artist,visual artist,designer","1891","1956"
"Alexej von Jawlensky","Torzhok","Wiesbaden","male","Germany","painter,art collector,printmaker,drawer","1864","1941"
"Anni Albers","Berlin","Orange","female","United States of America","author,painter,university teacher,jewelry designer,designer,textile designer,textile artist,lithographer","1899","1994"
"Anthony Caro","Surrey","London","male","United Kingdom","sculptor,visual artist","1924","2013"
"Beauford Delaney","Knoxville","14th arrondissement of Paris","male","United States of America","painter","1901","1979"
"Clyfford Still","Grandin","Baltimore","male","United States of America","painter,printmaker","1904","1980"
"Constantin Brâncu?i","Hobi?a","Paris","male","France","photographer,illustrator,painter,sculptor,architectural draftsperson,assemblage artist","1876","1957"
"David Smith","Decatur","Bennington","male","United States of America","photographer,writer,artist,painter,sculptor,visual artist,designer","1906","1965"
"Eduardo Chillida","San Sebastián","San Sebastián","male","Spain","illustrator,association football player,sculptor,graphic artist,visual artist,drawer","1924","2002"
"Francis Picabia","Paris","Paris","male","France","screenwriter,writer,poet,painter,sculptor,drawer","1879","1953"
"Franz Marc","Munich","Verdun","male","German Empire","illustrator,painter,graphic artist,visual artist,printmaker","1880","1916"
"Giacomo Balla","Turin","Rome","male","Italy","composer,teacher,artist,painter,sculptor,ceramicist,drawer","1871","1958"
"Hans Richter","Berlin","Dubno","male","German Reich","writer,jurist,opinion journalist,administrative lawyer","1889","1941"
"Henri Matisse","Le Cateau-Cambrésis","Nice","male","France","painter,sculptor,ceramicist,printmaker,drawer,lithographer","1869","1954"
"Henry Moore","Castleford","Much Hadham","male","United Kingdom","artist,illustrator,sculptor,graphic artist,visual artist,bandmaster,printmaker,architectural draftsperson,watercolorist","1898","1986"
"Hilma af Klint","Solna","Danderyd","female","Sweden","artist,female painter","1862","1944"
"Jean Arp","Strasbourg","Basel","male","France","photographer,writer,poet,painter,sculptor,jewelry designer,designer,drawer","1886","1966"
"Johannes Itten","Wachseldorn","Zurich","male","Switzerland","photographer,writer,architect,painter,graphic artist,drawer","1888","1967"
"Josef Albers","Bottrop","New Haven","male","United States of America","photographer,educator,painter,sculptor,university teacher,glass artist,designer,printmaker","1888","1976"
"Lee Krasner","Brooklyn","New York City","female","United States of America","artist,illustrator,painter,printmaker","1908","1984"
"Man Ray","Philadelphia","6th arrondissement of Paris","male","United States of America","screenwriter,photographer,actor,cinematographer,painter,sculptor,filmmaker,jewelry designer,film director,designer,film editor,printmaker,autobiographer,collagist,assemblage artist","1890","1976"
"Mark Rothko","Daugavpils","Manhattan","male","United States of America","painter,university teacher,drawer","1903","1970"
"Mathias Goeritz","Gdañsk","Mexico City","male","Mexico","writer,architect,painter,sculptor","1915","1990"
"Otto Freundlich","S³upsk","Lublin-Majdanek concentration camp","male","Germany","painter,sculptor,graphic artist,visual artist,drawer","1878","1943"
"Paul Klee","Münchenbuchsee","Muralto","male","Switzerland","painter,university teacher,graphic artist,visual artist,designer,printmaker,architectural draftsperson,drawer,lithographer","1879","1940"
"Paul Nash","Kensington","Boscombe","male","United Kingdom","photographer,artist,illustrator,painter,designer,printmaker","1889","1946"
"Roy Lichtenstein","New York","Manhattan","male","United States of America","artist,painter,sculptor,university teacher,graphic artist,jewelry designer,scenographer,visual artist,designer,printmaker,architectural draftsperson,lithographer","1923","1997"
"Sonia Delaunay","Hradyzk","Paris","female","France","painter,bookbinder,fashion designer,designer,printmaker,drawer,tapestry designer","1885","1979"
"Sophie Taeuber-Arp","Davos","Zurich","female","Switzerland","teacher,architect,artist,illustrator,painter,sculptor,dancer,textile artist","1889","1943"
"Theo van Doesburg","Utrecht","Davos","male","Kingdom of the Netherlands","photographer,writer,architect,poet,graphic designer,painter,designer,furniture designer,art theorist","1883","1931"
"Toyen","Smíchov","7th arrondissement of Paris","female","France","photographer,illustrator,drafter,painter,graphic artist,manufacturer","1902","1980"
"Victor Vasarely","Pécs","16th arrondissement of Paris","male","Hungary","illustrator,painter,sculptor,graphic artist,visual artist,designer,printmaker","1906","1997"
"Wassily Kandinsky","Moscow","Neuilly-sur-Seine","male","France","teacher,lawyer,illustrator,painter,sculptor,university teacher,graphic artist,scenographer,designer,printmaker,architectural draftsperson,drawer,art theorist","1866","1944"
"Willi Baumeister","Stuttgart","Stuttgart","male","Germany","photographer,graphic designer,painter,typographer,university teacher,graphic artist,designer,drawer","1889","1955"
"Adolph Gottlieb","New York City","New York City","male","United States of America","painter,sculptor,graphic artist,drawer","1903","1974"
"Alfred Jensen","Parish of Forsa","Vienna","male","Sweden","writer,poet,historian,translator,slavist,literary scholar","1859","1921"
"Andy Warhol","Pittsburgh","New York City","male","United States of America","screenwriter,photographer,merchant,cinematographer,author,artist,illustrator,painter,sculptor,filmmaker,graphic artist,film director,film producer,visual artist,designer,performance artist,printmaker,drawer,installation artist,diarist,producer","1928","1987"
"Arshile Gorky","Dilkaya","Sherman","male","United States of America","painter,sculptor,designer,architectural draftsperson","1904","1948"
"Barnett Newman","New York City","New York City","male","United States of America","illustrator,painter,sculptor,graphic artist,printmaker","1905","1970"
"Blinky Palermo","Leipzig","Vihamanaafushi","male","Germany","artist,illustrator,painter,sculptor,graphic artist,visual artist,drawer","1943","1977"
"Brice Marden","Bronxville","Tivoli","male","United States of America","artist,illustrator,painter,visual artist,printmaker","1938","2023"
"Cy Twombly","Lexington","Rome","male","United States of America","photographer,painter,sculptor,visual artist,printmaker,architectural draftsperson,drawer","1928","2011"
"Dan Flavin","New York City","Rive","male","United States of America","architect,painter,sculptor,visual artist,architectural draftsperson,drawer,installation artist","1933","1996"
"Donald Judd","Excelsior Springs","New York City","male","United States of America","architect,artist,painter,sculptor,visual artist,designer,architectural draftsperson,drawer,installation artist","1928","1994"
"Etel Adnan","Beirut","6th arrondissement of Paris","female","United States of America","writer,teacher,poet,painter,designer,essayist,drawer","1925","2021"
"Eva Hesse","Hamburg","New York City","female","United States of America","artist,painter,sculptor,textile artist,drawer","1936","1970"
"Frank Stella","Malden","Manhattan","male","United States of America","visual artist,designer,printmaker,installation artist,photographer,engraver,artist,painter,sculptor,graphic artist,jewelry designer","1936","2024"
"Gene Davis","Washington, D.C.","Washington, D.C.","male","United States of America","painter,drawer","1920","1985"
"Helen Frankenthaler","Manhattan","Darien","female","United States of America","painter,sculptor,printmaker,drawer,lithographer","1928","2011"
"Irma Blank","Celle","Milan","female","Germany","painter","1934","2023"
"Jackson Pollock","Cody","East Hampton","male","United States of America","painter,printmaker,drawer","1912","1956"
"Joan Mitchell","Chicago","5th arrondissement of Paris","female","United States of America","artist,illustrator,painter,printmaker","1925","1992"
"John Cage","Good Samaritan Hospital","New York City","male","United States of America","writer,composer,poet,illustrator,painter,university teacher,mycologist,visual artist,philosopher,musicologist,drawer,music theorist","1912","1992"
"John McCracken","Berkeley","New York City","male","United States of America","painter,sculptor,visual artist","1934","2011"
"Louise Nevelson","Pereiaslav","New York City","female","United States of America","artist,painter,sculptor,printmaker,architectural draftsperson","1899","1988"
"Mark Tobey","Centerville","Basel","male","United States of America","illustrator,painter","1890","1976"
"Norman Lewis","Harlem","New York City","male","United States of America","painter,drawer","1909","1979"
"Oswaldo Vigas","Valencia","Caracas","male","Venezuela","physician,painter","1926","2014"
"Philip Guston","Montreal","Woodstock","male","Canada","engraver,artist,illustrator,painter,muralist,printmaker,architectural draftsperson,drawer,lithographer","1913","1980"
"Pol Bury","Haine-Saint-Pierre","15th arrondissement of Paris","male","Belgium","photographer,poet,illustrator,painter,sculptor,filmmaker,university teacher,jewelry designer,visual artist,designer,kinetic artist","1922","2005"
"Robert Motherwell","Aberdeen","Provincetown","male","United States of America","artist,painter,graphic artist,designer,printmaker,collagist","1915","1991"
"Robert Rauschenberg","Port Arthur","Captiva","male","United States of America","photographer,painter,sculptor,graphic artist,choreographer,jewelry designer,visual artist,designer,performance artist,printmaker,architectural draftsperson,collagist,assemblage artist","1925","2008"
"Romare Bearden","Charlotte","New York City","male","United States of America","writer,musician,painter,printmaker,drawer,collagist","1911","1988"
"Sam Gilliam","Tupelo","Washington, D.C.","male","United States of America","painter,sculptor,printmaker,drawer","1933","2022"
"Claude Monet","Paris","Giverny","male","France","painter,graphic artist","1840","1926"
"Pablo Picasso","Málaga","Mougins","male","Spain","screenwriter,photographer,artist,graphic designer,illustrator,poster artist,painter,sculptor,costume designer,graphic artist,choreographer,jewelry designer,scenographer,muralist,visual artist,designer,ceramicist,printmaker,architectural draftsperson,drawer,collagist,assemblage artist","1881","1973"
"Brion Gysin","Taplow","Paris","male","Canada","photographer,writer,poet,painter,choreographer,novelist,new media artist,drawer","1916","1986"
"Georges Braque","Argenteuil","Paris","male","France","painter,sculptor,jewelry designer,scenographer,designer,printmaker,drawer,lithographer,collagist","1882","1963"
"Jean Metzinger","Nantes","Paris","male","France","writer,poet,artist,illustrator,painter,art critic,printmaker,art theorist","1883","1956"
"Juan Gris","Madrid","Paris","male","Spain","illustrator,painter,sculptor,scenographer,visual artist,printmaker,architectural draftsperson,drawer","1887","1927"
"Jean Dubuffet","Le Havre","6th arrondissement of Paris","male","France","writer,painter,sculptor,graphic artist,visual artist,philosopher,designer,printmaker,architectural draftsperson,drawer,art theorist,plastic artist","1901","1985"
"Louis Soutter","Morges","Ballaigues","male","Switzerland","painter,violinist,drawer","1871","1942"
"David Alfaro Siqueiros","Porto","Cuernavaca","male","Mexico","military personnel,painter,university teacher,printmaker,fresco painter","1896","1974"
"Diego Rivera","Guanajuato City","Coyoacán","male","Mexico","painter,sculptor,muralist,printmaker,architectural draftsperson,drawer","1886","1957"
"Gregorio Sciltian","Nakhichevan-on-Don","Rome","male","Russian Empire","painter","1900","1985"
"Alberto Burri","Citt? di Castello","Nice","male","Italy","pharmacist,painter,sculptor,printmaker,collagist,land artist","1915","1995"
"Asger Jorn","Vejrum Parish","Aarhus","male","Kingdom of Denmark","graphic designer,painter,sculptor,visual artist,ceramicist,printmaker,drawer,lithographer,art theorist","1914","1973"
"Carla Accardi","Trapani","Rome","female","Italy","painter,sculptor,visual artist","1924","2014"
"Charlotte Posenenske","Wiesbaden","Frankfurt","female","Germany","architect,artist,painter,sculptor,drawer,installation artist","1930","1985"
"Emilio Scanavino","Genoa","Milan","male","Italy","painter,sculptor,ceramicist","1922","1986"
"Fausto Melotti","Rovereto","Milan","male","Italy","painter,sculptor,graphic artist,jewelry designer,visual artist,designer,ceramicist","1901","1986"
"Karel Appel","Amsterdam","Zurich","male","Kingdom of the Netherlands","poet,illustrator,painter,sculptor,scenographer,muralist,visual artist,ceramicist,printmaker,drawer","1921","2006"
"Paolo Scheggi","Florence","Rome","male","Italy","painter","1940","1971"
"Piero Manzoni","Soncino","Milan","male","Italy","photographer,author,artist,painter,sculptor,visual artist,drawer,conceptual artist","1933","1963"
"Sadamasa Motonaga","Ueno","Takarazuka","male","Japan","painter,printmaker","1922","2011"
"Carl Larsson","Storkyrkoförsamlingen","Sundborns","male","Sweden","writer,illustrator,painter,graphic artist,printmaker,architectural draftsperson,drawer,watercolorist","1853","1919"
"Egon Schiele","Tulln an der Donau","Vienna","male","Cisleithania","photographer,architect,painter,sculptor,printmaker,drawer,lithographer","1890","1918"
"Felice Casorati","Novara","Turin","male","Italy","painter,sculptor,graphic artist,designer","1883","1963"
"Gustav Klimt","Vienna","Vienna","male","Austrian Empire","painter,graphic artist,designer,architectural draftsperson,drawer","1862","1918"
"Henri de Toulouse-Lautrec","Albi","Saint-André-du-Bois","male","France","graphic designer,poster artist,painter,graphic artist,visual artist,designer,ceramicist,printmaker,architectural draftsperson,drawer,lithographer","1864","1901"
"John Duncan","Dundee","Edinburgh","male","United Kingdom","painter,illustrator","1866","1945"
"Kazimir Malevich","Kyiv","Saint Petersburg","male","Soviet Union","painter,pedagogue,sculptor,costume designer,art historian,scenographer,visual artist,designer,printmaker,drawer,art theorist,teacher","1879","1935"
"Odilon Redon","Bordeaux","Paris","male","France","artist,illustrator,painter,sculptor,visual artist,printmaker,architectural draftsperson,drawer,lithographer","1840","1916"
"Otto Eckmann","Hamburg","Badenweiler","male","Hamburg","architect,illustrator,painter,typographer,graphic artist","1865","1902"
"Tom Thomson","Claremont","Canada","male","Canada","painter,visual artist,printmaker,architectural draftsperson","1877","1917"
"Gian Lorenzo Bernini","Naples","Rome","male","Italy","architect,artist,painter,sculptor,designer,architectural draftsperson","1598","1680"
"Gustave Courbet","Ornans","La Tour-de-Peilz","male","France","painter,sculptor,communard,visual artist,drawer","1819","1877"
"Nicolas Poussin","Les Andelys","Rome","male","France","painter,graphic artist,visual artist,architectural draftsperson","1594","1665"
"Otto van Veen","Leiden","City of Brussels","male","Habsburg Netherlands","painter,designer","1556","1629"
"Peter Paul Rubens","Siegen","Antwerp","male","Spanish Netherlands","diplomat,painter,sculptor,graphic artist,visual artist,printmaker,architectural draftsperson","1577","1640"
"Rembrandt","Leiden","Amsterdam","male","Dutch Republic","painter,collector,visual artist,art collector,etcher,printmaker,drawer","1606","1669"
"Paul Gauguin","Paris","Atuona","male","France","illustrator,painter,sculptor,graphic artist,visual artist,ceramicist,printmaker,drawer","1848","1903"
"Vincent van Gogh","Zundert","Auvers-sur-Oise","male","Kingdom of the Netherlands","painter,printmaker,drawer","1853","1890"
"Agnes Martin","Macklin","Taos","female","Canada","painter,printmaker,drawer","1912","2004"
"Ellsworth Kelly","Newburgh","Spencertown","male","United States of America","painter,sculptor,graphic artist,designer,printmaker,drawer","1923","2015"
"Abbas Kiarostami","Tehran","14th arrondissement of Paris","male","Iran","screenwriter,photographer,actor,poet,cinematographer,graphic designer,illustrator,editing staff,photojournalist,painter,sculptor,film director,film producer,director,film editor,producer","1940","2016"
"Bas Jan Ader","Winschoten","Atlantic Ocean","male","Kingdom of the Netherlands","photographer,filmmaker,visual artist,performance artist,video artist,ocean rower,conceptual artist","1942","1975"
"Billy Apple","Auckland","Auckland","male","New Zealand","painter,sculptor,visual artist,conceptual artist","1935","2021"
"Christian Boltanski","Paris","Paris","male","France","photographer,artist,illustrator,painter,sculptor,filmmaker,visual artist,new media artist,conceptual artist","1944","2021"
"Claude Rutault","Les Trois-Moutiers","Boulogne-Billancourt","male","France","painter","1941","2022"
"Dennis Oppenheim","Electric City","New York City","male","United States of America","photographer,sculptor,visual artist,performance artist,drawer,installation artist,video artist,conceptual artist,land artist","1938","2011"
"Eduardo Paolozzi","Leith","London","male","United Kingdom","actor,artist,painter,sculptor,filmmaker,university teacher,graphic artist,muralist,visual artist,designer,ceramicist,textile artist,printmaker,architectural draftsperson,drawer,collagist","1924","2005"
"Giovanni Anselmo","Borgofranco d'Ivrea","Turin","male","Italy","photographer,illustrator,sculptor,visual artist,drawer,conceptual artist","1934","2023"
"Hanne Darboven","Munich","Hamburg","female","Germany","photographer,composer,artist,painter,visual artist,drawer,conceptual artist","1941","2009"
"Helena Almeida","Lisbon","Sintra","female","Portugal","photographer,artist,painter","1934","2018"
"Ilya Kabakov","Dnipro","Long Island","male","United States of America","photographer,artist,painter,sculptor,visual artist,printmaker,drawer,video artist,conceptual artist","1933","2023"
"James Lee Byars","Detroit","Cairo","male","United States of America","photographer,artist,sculptor,visual artist,performance artist,drawer,conceptual artist","1932","1997"
"John Baldessari","National City","Los Angeles","male","United States of America","photographer,architect,illustrator,painter,sculptor,filmmaker,visual artist,printmaker,installation artist,video artist,conceptual artist","1931","2020"
"Joseph Beuys","Krefeld","Düsseldorf","male","Germany","photographer,illustrator,painter,sculptor,university teacher,choreographer,performance artist,printmaker,drawer,conceptual artist","1921","1986"
"Lawrence Weiner","New York City","New York City","male","United States of America","author,illustrator,painter,visual artist,installation artist,video artist,conceptual artist,video installation artist","1942","2021"
"Lothar Baumgarten","Rheinsberg","Berlin","male","United States of America","photographer,painter,sculptor,lighting designer,ethnographer,installation artist,conceptual artist,serigrapher","1944","2018"
"Louise Bourgeois","6th arrondissement of Paris","Beth Israel Medical Center","female","United States of America","photographer,illustrator,writer,midwife,gynecologist,obstetrician,painter,sculptor,jewelry designer,performance artist,printmaker,drawer,installation artist","1911","2010"
"Lygia Clark","Belo Horizonte","Rio de Janeiro","female","Brazil","artist,painter,sculptor,university teacher,performance artist,installation artist","1920","1988"
"Lygia Pape","Nova Friburgo","Rio de Janeiro","female","Brazil","artist,painter,sculptor,filmmaker,graphic artist,drawer,installation artist","1927","2004"
"Marcel Broodthaers","Saint-Gilles - Sint-Gillis","Cologne","male","Belgium","photographer,poet,author,illustrator,painter,installation artist,video artist,conceptual artist,sculptor,filmmaker,videographer,printmaker","1924","1976"
"Marcel Duchamp","Blainville-Crevon","Neuilly-sur-Seine","male","United States of America","photographer,actor,poet,librarian,artist,painter,sculptor,film director,visual artist,philosopher,designer,chess player,printmaker,architectural draftsperson,assemblage artist","1887","1968"
"Maria Lai","Ulassai","Cardedu","female","Italy","artist,textile artist","1919","2013"
"Markus Raetz","Bern","Bern","male","Switzerland","photographer,illustrator,painter,sculptor,designer,printmaker,drawer","1941","2020"
"Martin Kippenberger","Dortmund","Vienna","male","Germany","photographer,artist,illustrator,painter,sculptor,university teacher,choreographer,visual artist,designer,installation artist,conceptual artist","1953","1997"
"Mira Schendel","Zurich","S?o Paulo","female","Switzerland","writer,poet,artist,illustrator,painter,sculptor","1919","1988"
"On Kawara","Kariya","New York City","male","Japan","painter,visual artist,printmaker,drawer,conceptual artist","1933","2014"
"Rebecca Horn","Michelstadt","Bad König","female","Germany","screenwriter,teacher,artist,sculptor,choreographer,film director,visual artist,performance artist,installation artist,video artist","1944","2024"
"Robert Morris","Liverpool","Philadelphia","male","United States of America","politician,merchant,banker,financier,slave trader","1734","1806"
"Siah Armajani","Tehran","New York City","male","United States of America","architect,artist,illustrator,sculptor,conceptual artist","1939","2020"
"Sigmar Polke","Oleœnica","Cologne","male","Germany","photographer,painter,sculptor,graphic artist,visual artist,designer,printmaker,drawer,installation artist","1941","2010"
"Sol LeWitt","Hartford","New York City","male","United States of America","photographer,architect,illustrator,painter,sculptor,muralist,visual artist,printmaker,drawer,conceptual artist,collagist","1928","2007"
"Vito Acconci","New York City","New York City","male","United States of America","video artist,photographer,architect,poet,television producer,illustrator,landscape architect,visual artist,performance artist","1940","2017"
"Walter De Maria","Albany","Los Angeles","male","United States of America","photographer,composer,illustrator,painter,sculptor,drawer,installation artist,conceptual artist,land artist","1935","2013"
"Bruno Munari","Milan","Milan","male","Italy","photographer,graphic designer,painter,sculptor,graphic artist,designer","1907","1998"
"Dieter Roth","Hanover","Basel","male","Switzerland","photographer,writer,poet,artist,painter,sculptor,graphic artist,visual artist,designer","1930","1998"
"Gyula Kosice","Košice","Buenos Aires","male","Argentina","poet,painter,sculptor,visual artist,art theorist,kinetic artist","1924","2016"
"El Lissitzky","Pochinok","Moscow","male","Soviet Union","photographer,teacher,architect,type designer,graphic designer,painter,typographer,visual artist,designer,drawer","1890","1941"
"Katarzyna Kobro","Moscow","£ódŸ","female","Poland","painter,sculptor,art theorist","1898","1951"
"Le Corbusier","La Chaux-de-Fonds","Roquebrune-Cap-Martin","male","Switzerland","photographer,writer,architect,urban planner,painter,visual artist,designer,textile artist,drawer","1887","1965"
"Ludwig Mies van der Rohe","Aachen","Chicago","male","United States of America","teacher,architect,designer","1886","1969"
"Oskar Schlemmer","Stuttgart","Baden-Baden","male","Nazi Germany","photographer,painter,sculptor,costume designer,university teacher,graphic artist,choreographer,puppeteer,scenographer,designer,librettist","1888","1943"
"Victor Brauner","Piatra Neam?","Paris","male","France","painter,sculptor,graphic artist,designer","1903","1966"
"Lucian Freud","Berlin","London","male","United Kingdom","illustrator,painter,graphic artist,printmaker,architectural draftsperson,drawer,portraitist","1922","2011"
"Aaron Douglas","Topeka","Nashville","male","United States of America","illustrator,painter,graphic artist,muralist,architectural draftsperson","1899","1979"
"Ernst Ludwig Kirchner","Aschaffenburg","Davos Frauenkirch","male","German Reich","photographer,illustrator,painter,sculptor,graphic artist,visual artist,designer,printmaker,architectural draftsperson,drawer","1880","1938"
"George Grosz","Berlin","West Berlin","male","United States of America","photographer,writer,illustrator,painter,university teacher,graphic artist,printmaker,architectural draftsperson,drawer,lithographer","1893","1959"
"Giorgio Morandi","Bologna","Bologna","male","Italy","military personnel,artist,painter,sculptor,university teacher,graphic artist,etcher,printmaker,architectural draftsperson","1890","1964"
"Jacob Lawrence","Atlantic City","Seattle","male","United States of America","painter,architectural draftsperson","1917","2000"
"Lyonel Feininger","New York City","New York City","male","United States of America","photographer,composer,teacher,artist,illustrator,comics artist,painter,graphic artist,caricaturist,drawer","1871","1956"
"Max Beckmann","Leipzig","New York City","male","Germany","writer,illustrator,painter,sculptor,university teacher,printmaker,architectural draftsperson","1884","1950"
"Max Ernst","Brühl","7th arrondissement of Paris","male","United States of America","photographer,poet,psychiatrist,engraver,illustrator,painter,sculptor,jewelry designer,designer,printmaker,architectural draftsperson,drawer,lithographer,collagist","1891","1976"
"Piet Mondrian","Amersfoort","New York City","male","Kingdom of the Netherlands","illustrator,painter,visual artist,etcher,furniture designer,architectural draftsperson,drawer","1872","1944"
"Umberto Boccioni","Reggio Calabria","Verona","male","Italy","photographer,artist,painter,sculptor,art critic,printmaker,drawer","1882","1916"
"Wifredo Lam","Sagua La Grande","Paris","male","France","illustrator,painter,sculptor,muralist,ceramicist,printmaker,architectural draftsperson","1902","1982"
"Kurt Schwitters","Hanover","Ambleside","male","Norway","photographer,writer,composer,poet,graphic designer,musician,painter,sculptor,graphic artist,visual artist,designer","1887","1948"
"Eug?ne Atget","Libourne","14th arrondissement of Paris","male","France","photographer,architectural photographer","1857","1927"
"Karl Blossfeldt","Schielo","Berlin","male","Free State of Anhalt","photographer,teacher,professor,sculptor,botanical illustrator","1865","1932"
"Edward Burne-Jones","Birmingham","London","male","United Kingdom","artist,illustrator,painter,visual artist,designer,architectural draftsperson,drawer","1833","1898"
"Antonello da Messina","Messina","Messina","male","Kingdom of Sicily","painter","1430","1479"
"Leonardo da Vinci","Anchiano","Clos Lucé","male","Republic of Florence","scientist,astronomer,writer,composer,architect,engineer,physicist,mathematician,diplomat,inventor,polymath,zoologist,chemist,painter,sculptor,physiologist,botanist,visual artist,caricaturist,philosopher,designer,anatomist,civil engineer,architectural draftsperson","1452","1519"
"George Segal","Great Neck","Santa Rosa Memorial Hospital","male","United States of America","actor,stage actor,voice actor,film producer,banjoist,television actor,film actor","1934","2021"
"Nancy Holt","Worcester","New York City","female","United States of America","photographer,artist,television producer,sculptor,drawer,installation artist,video artist,land artist","1938","2014"
"Nobuo Sekine","Saitama","Los Angeles","male","Japan","sculptor,land artist","1942","2019"
"Robert Smithson","Passaic","Amarillo","male","United States of America","photographer,geologist,painter,sculptor,visual artist,architectural draftsperson,drawer,art theorist,conceptual artist,land artist","1938","1973"
"Francis Bacon","London","London","male","Kingdom of England","scientist,judge,writer,lawyer,politician,astrologer,historian,philosopher","1561","1626"
"Frank Auerbach","Berlin","London","male","United Kingdom","artist,graphic designer,painter,drawer","1931","2024"
"Germaine Richier","Grans","Montpellier","female","Switzerland","artist,sculptor,visual artist,designer","1902","1959"
"Alberto Giacometti","Borgonovo","Chur","male","Switzerland","writer,illustrator,painter,sculptor,graphic artist,printmaker,drawer,jewelry designer","1901","1966"
"Aldo Mondino","Turin","Turin","male","Italy","painter,sculptor","1938","2005"
"Alfredo Volpi","Lucca","Brazil","male","Brazil","artist,painter,drawer","1896","1988"
"Alice Neel","Gladwyne","New York City","female","United States of America","photographer,painter,lithographer","1900","1984"
"Alina Szapocznikow","Kalisz","Passy","female","Poland","photographer,artist,sculptor,graphic artist,drawer","1926","1973"
"Amedeo Modigliani","Livorno","Paris","male","Kingdom of Italy","drawer,painter,sculptor","1884","1920"
"Andrzej Wróblewski","Vilnius","Droga Oswalda Balzera","male","Poland","painter,university teacher,art critic,opinion journalist","1927","1957"
"August Macke","Meschede","Souain-Perthes-l?s-Hurlus","male","Kingdom of Prussia","painter,sculptor,graphic artist,scenographer,architectural draftsperson,drawer","1887","1914"
"Balthus","Paris","Rossini?re","male","Poland","photographer,illustrator,painter,scenographer,drawer","1908","2001"
"Bernard Buffet","9th arrondissement of Paris","Tourtour","male","France","illustrator,painter,printmaker,drawer","1928","1999"
"Bruno Schulz","Drohobych","Drohobych","male","Austria-Hungary","writer,painter,graphic artist,literary critic,drawer","1892","1942"
"Constant Permeke","Antwerp","Ostend","male","Belgium","artist,painter,sculptor,visual artist,drawer","1886","1952"
"Edvard Munch","?dalsbruk","Ekely","male","Norway","painter,graphic artist,printmaker,architectural draftsperson,drawer","1863","1944"
"Emil Nolde","Nolde","Seebüll","male","Germany","photographer,painter,sculptor,xylographer,graphic artist,printmaker,architectural draftsperson,drawer,lithographer","1867","1956"
"Florine Stettheimer","Rochester","New York City","female","United States of America","poet,artist,painter,costume designer,designer","1871","1944"
"Gerard Sekoto","Botshabelo","Nogent-sur-Marne","male","Union of South Africa","musician,painter","1913","1993"
"Graham Sutherland","Streatham","Streatham","male","United Kingdom","artist,painter,visual artist,printmaker,lithographer","1903","1980"
"Hans Bellmer","Katowice","20th arrondissement of Paris","male","France","photographer,illustrator,painter,sculptor,visual artist,printmaker,drawer","1902","1975"
"Helene Schjerfbeck","Helsinki","Saltsjöbaden","female","Finland","painter","1862","1946"
"Horace Pippin","West Chester","West Chester","male","United States of America","military personnel,painter,sculptor","1888","1946"
"Irma Stern","Schweizer-Reneke","Cape Town","female","South Africa","painter","1894","1966"
"James Ensor","Ostend","Ostend","male","Belgium","author,artist,painter,graphic artist,visual artist,printmaker,architectural draftsperson","1860","1949"
"Jean Cocteau","Maisons-Laffitte","Milly-la-For?t","male","France","screenwriter,photographer,actor,writer,composer,poet,playwright,author,illustrator,painter,postage stamp designer,voice actor,jewelry designer,film director,director,designer,novelist,ceramicist,librettist,prose writer","1889","1963"
"Oskar Kokoschka","Pöchlarn","Montreux","male","Austria","writer,poet,playwright,artist,illustrator,painter,university teacher,graphic artist,visual artist,designer,drawer","1886","1980"
"Paul Delvaux","Huy","Veurne","male","Belgium","illustrator,painter,sculptor,muralist,printmaker,drawer,watercolorist","1897","1994"
"Paula Modersohn-Becker","Dresden","Worpswede","female","German Empire","artist,painter,printmaker,drawer","1876","1907"
"Paula Rego","Lisbon","London","female","Portugal","painter,printmaker","1935","2022"
"Albert Marquet","Bordeaux","Paris","male","France","artist,painter,visual artist,drawer","1875","1947"
"Ana Mendieta","Havana","New York City","female","United States of America","photographer,artist,painter,sculptor,athlete,film director,visual artist,performance artist,video artist,land artist","1948","1985"
"Faith Ringgold","Harlem","Englewood","female","United States of America","writer,illustrator,painter,sculptor,visual artist,textile artist,performance artist,quiltmaker","1930","2024"
"Michelangelo","Caprese Michelangelo","Rome","male","Republic of Florence","writer,architect,poet,engineer,general contractor,painter,sculptor,visual artist,architectural draftsperson","1475","1564"
"Auguste Rodin","Paris","Meudon","male","France","photographer,painter,sculptor,printmaker,drawer","1840","1917"
